customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00163,Female,0,No,No,16,Yes,Yes,DSL,Yes,Yes,No internet service,Two year,Yes,Electronic check,36.15,578.12,No
CUST-00164,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Bank transfer,112.77,5305.76,Yes
CUST-00165,Male,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,No,Yes,Month-to-month,Yes,Electronic check,63.2,420.42,Yes
CUST-00166,Female,0,Yes,No,55,No,No phone service,DSL,No,No internet service,No internet service,One year,Yes,Credit card,98.12,5374.08,No
CUST-00167,Male,0,Yes,No,16,No,No,DSL,No,No,No internet service,Month-to-month,Yes,Bank transfer,82.89,1328.86,Yes
CUST-00168,Male,0,Yes,No,68,Yes,No,DSL,No,No internet service,Yes,Month-to-month,No,Mailed check,84.26,5705.4,Yes
CUST-00169,Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No,Month-to-month,Yes,Credit card,62.85,727.47,Yes
CUST-00170,Female,0,Yes,No,37,Yes,No,Fiber optic,Yes,No internet service,No,Month-to-month,No,Credit card,58.28,2205.85,No
CUST-00171,Male,0,Yes,Yes,17,Yes,No phone service,DSL,No,No internet service,No internet service,Month-to-month,Yes,Credit card,34.52,557.93,Yes
CUST-00172,Male,0,No,No,25,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Credit card,25.22,638.03,Yes
CUST-00173,Female,0,No,Yes,36,Yes,No,Fiber optic,No internet service,Yes,No,Month-to-month,Yes,Electronic check,112.66,4020.3,Yes
CUST-00174,Female,1,No,Yes,69,Yes,Yes,DSL,Yes,Yes,No internet service,Month-to-month,No,Credit card,113.54,7802.82,No
CUST-00175,Female,0,Yes,Yes,40,Yes,Yes,DSL,No,Yes,No internet service,Month-to-month,Yes,Electronic check,83.41,3363.0,Yes
CUST-00176,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,Two year,Yes,Electronic check,57.58,2330.75,No
CUST-00177,Male,0,Yes,No,40,No,No,DSL,Yes,No,Yes,Two year,Yes,Electronic check,20.56,847.3,No
CUST-00178,Male,0,Yes,No,46,Yes,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,63.66,2918.76,No
CUST-00179,Male,0,No,No,13,Yes,No,Fiber optic,No internet service,No,No,Month-to-month,No,Mailed check,85.22,1105.81,Yes
CUST-00180,Male,0,No,No,0,Yes,Yes,Fiber optic,No internet service,No,No,One year,Yes,Electronic check,48.63,0.0,No
CUST-00181,Male,0,Yes,No,16,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,52.93,851.78,No
CUST-00182,Female,0,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer,66.18,3556.88,No
CUST-00183,Male,0,Yes,No,52,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,68.48,3528.42,No
CUST-00184,Male,0,Yes,No,30,Yes,No,No,Yes,No,No internet service,Month-to-month,Yes,Credit card,93.77,2777.01,Yes
CUST-00185,Male,0,No,No,61,Yes,No,No,No,No,No internet service,One year,No,Electronic check,68.98,4257.75,No
CUST-00186,Female,0,No,No,7,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,104.22,714.1,Yes
CUST-00187,Male,0,Yes,No,29,Yes,Yes,DSL,No,No,Yes,Month-to-month,Yes,Mailed check,67.24,1980.45,Yes
CUST-00188,Male,0,No,Yes,65,Yes,No phone service,Fiber optic,No internet service,No,No,Month-to-month,No,Bank transfer,21.26,1366.04,No
CUST-00189,Female,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,Credit card,32.42,1438.78,Yes
CUST-00190,Male,0,Yes,No,17,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card,91.25,1585.37,No
CUST-00191,Male,0,No,No,44,Yes,Yes,Fiber optic,No,Yes,No internet service,One year,No,Mailed check,64.09,2839.56,Yes
CUST-00192,Male,0,Yes,Yes,18,Yes,Yes,DSL,Yes,No,Yes,One year,No,Mailed check,65.04,1127.63,Yes
CUST-00193,Male,0,No,No,67,Yes,No,Fiber optic,No,Yes,No,Month-to-month,No,Bank transfer,117.76,7859.2,Yes
CUST-00194,Male,1,Yes,Yes,49,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,No,Mailed check,76.29,3775.57,No
CUST-00195,Female,0,No,No,24,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Two year,No,Bank transfer,29.93,715.44,No
CUST-00196,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,62.24,2312.73,Yes
CUST-00197,Female,0,No,No,35,Yes,Yes,Fiber optic,No internet service,Yes,No,One year,Yes,Electronic check,75.26,2586.55,No
CUST-00198,Male,0,Yes,Yes,67,Yes,No,Fiber optic,No,Yes,Yes,One year,No,Credit card,21.82,1460.67,No
CUST-00199,Male,0,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,Two year,No,Credit card,55.19,3028.54,No
CUST-00200,Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,116.72,4453.98,Yes
CUST-00201,Female,1,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,One year,Yes,Credit card,94.63,5844.5,No
CUST-00202,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,Mailed check,55.96,360.15,Yes
